Title,WP_page_title,FirstWeekendBoxOfficeRevenue,NumberOfTheaters,Date_of_release,InceptionOfArticle,Views30,Log_FirstWeekendBoxOfficeRevenue,Log_NumberOfTheaters,Log_Views30,Log_InceptionOfArticle,MonthOfRelease,Sequel
Tooth Fairy,Tooth_Fairy_(film),14010409,3344,1/22/2010,273,268936,16.45531111,8.114922974,12.50222871,5.609471795,1,0
Due Date,Due_Date,32689406,3355,11/5/2010,460,521248,17.30256161,8.118207049,13.16398122,6.131226489,11,0
Percy Jackson and the Olympians The Lightning Thief,Percy_Jackson_&_the_Olympians:_The_Lightning_Thief,31236067,3356,2/12/2010,334,635172,17.25708398,8.118505068,13.36165111,5.811140993,2,0
Date Night,Date_Night,25207599,3374,4/9/2010,317,467152,17.04265605,8.123854263,13.05440997,5.758901774,4,0
Sex and the City 2,Sex_and_the_City_2,31001870,3445,5/27/2010,357,554638,17.24955808,8.144679183,13.22607093,5.877735782,5,1
Tron Legacy,Tron:_Legacy,44026211,3451,12/17/2010,601,1855918,17.60029572,8.146419323,14.43389001,6.398594935,12,0
Despicable Me,Despicable_Me,56397125,3476,7/9/2010,358,530558,17.84792874,8.153637486,13.18168456,5.880532986,7,0
Robin Hood,Robin_Hood_(2010_film),36063385,3503,5/14/2010,943,967055,17.40078864,8.161375023,13.78201065,6.849066283,5,0
The Sorcerer%27s Apprentice,The_Sorcerer%27s_Apprentice_(2010_film),17619622,3504,7/14/2010,1074,585009,16.68452373,8.161660452,13.27938251,6.979145275,7,0
Yogi Bear,Yogi_Bear_(film),16411322,3515,12/17/2010,778,435142,16.61348202,8.164794804,12.98342769,6.656726524,12,0
Grown Ups,Grown_Ups_(film),40506562,3534,6/25/2010,396,663037,17.51697454,8.170185653,13.40458607,5.981414211,6,0
The A-Team,The_A-Team_(film),25669455,3535,6/11/2010,807,1293486,17.06081232,8.170468578,14.07285146,6.693323668,6,0
Little Fockers,Little_Fockers,30833665,3536,12/22/2010,566,1216888,17.24411767,8.170751424,14.01180734,6.338594078,12,0
The Chronicles of Narnia The Voyage of the Dawn Treader,The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,24005069,3555,12/10/2010,620,1176716,16.99377557,8.176110342,13.97823807,6.429719478,12,0
Wall Street Money Never Sleeps,Wall_Street:_Money_Never_Sleeps,19011188,3565,9/24/2010,511,955447,16.76053821,8.178919333,13.76993457,6.23636959,9,0
Legend of the Guardians The Owls of Ga%27Hoole,Legend_of_the_Guardians:_The_Owls_of_Ga%27Hoole,16112211,3575,9/24/2010,677,411738,16.59508799,8.181720455,12.9281425,6.517671273,9,0
Tangled,Tangled,48767052,3603,11/24/2010,2403,1023716,17.70256548,8.189522111,13.8389497,7.784473236,11,0
Salt,Salt_(2010_film),36011243,3612,7/23/2010,505,567038,17.39934175,8.192016915,13.2481816,6.224558429,7,0
Prince of Persia The Sands of Time,Prince_of_Persia:_The_Sands_of_Time_(film),30095259,3646,5/28/2010,1421,1126335,17.21987821,8.201385955,13.93447956,7.259116128,5,0
The Other Guys,The_Other_Guys,35543162,3651,8/6/2010,1805,531148,17.38625835,8.202756382,13.18279598,7.498315871,8,0
The Karate Kid,The_Karate_Kid_(2010_film),55665805,3663,6/11/2010,338,557208,17.8348766,8.206037763,13.23069388,5.823045895,6,0
Valentine%27s Day,Valentine%27s_Day_(film),56260707,3665,2/12/2010,195,1212594,17.84550693,8.206583614,14.00827242,5.272999559,2,0
Alice in Wonderland,Alice_in_Wonderland_(2010_film),116101023,3728,3/5/2010,826,4040563,18.56997126,8.223627176,15.2118946,6.716594774,3,0
Clash of the Titans,Clash_of_the_Titans_(2010_film),61235105,3777,4/2/2010,356,1695610,17.93023119,8.236685323,14.34355312,5.874930731,4,0
Inception,Inception,62785337,3792,7/16/2010,392,1448183,17.95523212,8.240648863,14.18582023,5.97126184,7,0
Megamind,Megamind,46016833,3944,11/5/2010,698,836078,17.64451782,8.279950716,13.63647719,6.548219103,11,0
Toy Story 3,Toy_Story_3,110307189,4028,6/18/2010,2029,3249770,18.51877966,8.301025254,14.99409478,7.61529834,6,1
How to Train Your Dragon,How_to_Train_Your_Dragon_(film),43732319,4055,3/26/2010,622,652491,17.59359795,8.307705967,13.38855262,6.432940093,3,0
Shrek Forever After,Shrek_Forever_After,70838207,4359,5/21/2010,1843,1708839,18.07590906,8.379997952,14.35132475,7.519149958,5,0
Iron Man 2,Iron_Man_2,128122480,4380,5/7/2010,406,4555047,18.66849724,8.384804003,15.33174641,6.00635316,5,1
The Twilight Saga Eclipse,The_Twilight_Saga:_Eclipse,64832191,4468,6/30/2010,491,3298743,17.98731281,8.40469616,15.00905204,6.196444128,6,0
